county,pov,moe
Perry,29.76472256249012,13.200000000000001
Greene,25.591655084697518,13.4
Wilcox,24.2697176677441,11.700000000000001
Bullock,24.11904102285268,11.700000000000001
Sumter,23.522387698205023,9.2
Hale,23.00806170955402,12.5
Conecuh,22.8724001728892,13
Lowndes,21.938540086145906,10.1
Dallas,20.47089964328961,7.200000000000001
Coosa,20.285985561116014,10.8
Fayette,20.091903999193157,8.3
Bibb,20.077948432767126,8.1
Pickens,20.047957622272477,8
Marengo,19.89720106082019,8.5
Monroe,19.454495800994266,8.2
Macon,19.377646575774865,7.5
Butler,19.12624519223777,7.1
Choctaw,19.05024877881126,7.200000000000001
Russell,19.046439253529407,7.1
Franklin,18.767789478817953,7.200000000000001
Clay,18.636526542412103,7.6
Lamar,18.564518185641237,8.7
Barbour,18.45948265852734,5.4
Cleburne,18.291162085656826,7.6
Lawrence,18.28134813683037,7.000000000000001
Clarke,18.19947576671799,5.700000000000001
Washington,18.126346649912843,6.7
Geneva,18.082883350035633,5.700000000000001
Pike,18.01402580949743,5.3
Randolph,18.00583599654849,6.1000000000000005
Winston,17.93004427137784,6
Chambers,17.84404584280836,5.1
Escambia,17.825842109113466,5.4
Marion,17.774914497501893,6.199999999999999
Crenshaw,17.774852814009034,6.5
Colbert,17.763941510676563,5.4
Jackson,17.54724431582381,4.9
Tallapoosa,17.53038061017551,4.9
Dale,17.493397468467165,4.6
DeKalb,17.480543332767244,4.4
Covington,17.47874018955968,4.8
Henry,17.40419917930928,5.2
Talladega,17.136086374552455,4.1
Cherokee,17.056938597868783,4.9
Walker,16.857918323952344,4
Coffee,16.728541126221952,3.5000000000000004
Chilton,16.699834147169025,4.2
Marshall,16.640778095924436,3.3000000000000003
Montgomery,16.469938162856426,2.7
Etowah,16.384470469228383,2.9000000000000004
Calhoun,16.37818069965587,2.9000000000000004
Autauga,16.31699125468725,3.5000000000000004
Limestone,16.31593246769217,3.3000000000000003
St. Clair,16.305749611995406,3.4000000000000004
Lee,16.304686427412268,3.2
Tuscaloosa,16.267880186969546,2.7999999999999994
Cullman,16.251554413795493,3.0999999999999996
Blount,16.23214953365622,3
Lauderdale,16.208577341487047,2.9000000000000004
Morgan,16.205652529390676,2.9000000000000004
Houston,16.123550397637665,2.2
Elmore,16.08562257614193,2.9000000000000004
Mobile,15.849044976810442,1.7000000000000002
Jefferson,15.796898833230234,1.7000000000000002
Baldwin,15.705781149226214,1.9
Madison,15.646264969871297,1.7000000000000002
Shelby,15.478439037783506,1.5
