county,pov,moe
Nevada,25.1161222475137,10.899999999999999
Searcy,24.976386760043958,12.8
Lee,23.905435453618985,10.899999999999999
Dallas,23.568740328323535,13.900000000000002
Monroe,23.07582483949159,11
Chicot,22.294171085441395,9.7
Desha,21.861313581150096,8.6
Lincoln,21.72874585625121,10.3
Drew,21.266966742976177,9.4
Franklin,21.052542084098317,9.7
Cleveland,20.948791288840884,9.9
Lafayette,20.87592589671918,8.6
Conway,20.794499236483617,8.4
Izard,20.78277878900434,8.9
Howard,20.77706457035666,9
Woodruff,20.652828703858177,8.7
St. Francis,20.650717536009434,7.6
Ouachita,20.64868882922764,8.6
Ashley,20.641464998242522,8.1
Scott,20.404813531718734,8.5
Phillips,20.068804359299452,6
Stone,20.032633417849258,7.6
Newton,19.983136037295253,8.8
Jackson,19.94625019309417,7.5
Perry,19.867902996301456,8.3
Clark,19.84735150298193,7.400000000000001
Sevier,19.780715150019383,7.200000000000001
Hot Spring,19.74025866514065,6.9
Randolph,19.730812910276065,7.000000000000001
Clay,19.673234988168907,7.000000000000001
Sharp,19.580054354818387,7.5
Columbia,19.571030932463295,6.199999999999999
Hempstead,19.548370796178922,6.3
Madison,19.508996258396966,6.800000000000001
Montgomery,19.421444309778597,7.6
Cross,19.38691743191145,6.5
Van Buren,19.295119566201663,7.1
Fulton,19.264255465123888,7.5
Johnson,19.081115806317403,5.9
Crawford,18.983929291682816,6
Polk,18.931714010947612,6.199999999999999
Lawrence,18.894480435312882,6.1000000000000005
Grant,18.801949411032147,6.5
Marion,18.684966352231157,6.3
Little River,18.670090839460713,6.3
Poinsett,18.656053089686093,5.3
Logan,18.60665788930885,6.1000000000000005
Bradley,18.458894391824966,6.1000000000000005
Independence,18.456891821953914,5.4
Cleburne,18.347526461392423,5.700000000000001
Pike,18.318436321516433,5.9
Calhoun,18.310091803282543,6.3
Mississippi,18.306610747246232,4.8
Arkansas,18.236455317925977,5.700000000000001
Carroll,18.21269987883687,5.5
Greene,18.17517873713633,4.9
Baxter,18.15854258762671,5.4
Jefferson,18.133483371488087,4.7
Prairie,17.917493816825257,5.700000000000001
Miller,17.913146923067014,4.6
Union,17.80032606637786,4.5
Crittenden,17.623740763981395,4
Yell,17.507119829840462,4.5
Boone,17.46325069199546,4.5
Garland,17.225511454237125,3.5000000000000004
Craighead,17.206166048999748,3.4000000000000004
Pope,17.148899341811607,3.5000000000000004
White,16.92761992730212,3.3000000000000003
Lonoke,16.68277675590613,3
Pulaski,16.65100854888832,2.6
Sebastian,16.622397624229333,2.7
Faulkner,16.524369450968504,2.7999999999999994
Saline,16.18958757352629,2.2
Washington,16.12641756170351,2
Benton,15.895653651570871,1.7000000000000002
