county,pov,moe
Hancock,38.34925655193703,22.899999999999995
Webster,34.5630709122737,25.1
Treutlen,29.789690434172535,18
Telfair,27.92167786909905,11.8
Clay,27.431462370540714,23.6
Quitman,26.745664835246387,23.5
Clinch,26.738925235970505,15.9
Lanier,24.46513840222685,12.5
Warren,22.99073928787668,13.600000000000001
Calhoun,22.592312470842245,13
Terrell,22.508591261719236,9.2
Pulaski,22.42324222654,13.100000000000001
Stewart,22.07556064108804,18.1
Brooks,21.976203974840132,12.200000000000001
Randolph,21.963003907665996,13.3
Dooly,21.922210324787393,9.2
McIntosh,21.796165427081565,12.399999999999999
Early,21.640337954222794,11.199999999999998
Atkinson,21.532794814739564,8.6
Crisp,21.520255072408872,9.6
Appling,21.44210644261311,10.2
Screven,21.345587081549127,10.8
Taylor,21.34162277117621,10.6
Glascock,21.2205427200651,17.6
Mitchell,21.007943769899647,8.5
Wheeler,20.94803538597145,14.800000000000002
Wilkinson,20.63341065824379,10.5
Miller,20.602255867555606,10.8
Jenkins,20.52753700699441,14.7
Charlton,20.465190397578052,9.5
Irwin,20.41094181446648,11.1
Jeff Davis,20.31455295762247,10.6
Ben Hill,20.25763433603607,8.2
Johnson,20.22788540420056,12
Talbot,20.142931561137235,11.5
Lincoln,20.034947795990032,9.5
Wilkes,19.80802019219487,11
Baker,19.80669680828398,13.4
Wilcox,19.78699942014725,9.2
Candler,19.74017935682767,10.1
Decatur,19.63802544430288,7.5
Taliaferro,19.27822274764334,14.899999999999999
Franklin,19.254336972577953,9.3
Bacon,19.235738688691054,9.2
Madison,19.22275767763073,8.8
Grady,19.021218617843047,7.8
Turner,18.998357697502723,10.3
Upson,18.790884733327587,7.9
Sumter,18.79035901200267,7.8
Putnam,18.78850525142766,8.9
Echols,18.7245681706844,11.600000000000001
Tift,18.71015961192512,7.400000000000001
Butts,18.670002742415086,7.6
Jefferson,18.635423320078417,7.6
Macon,18.633133183087267,7.5
Colquitt,18.50858331266902,5.9
Ware,18.50141670159694,5.800000000000001
Evans,18.45945920901058,8.1
Peach,18.458899796732815,7.3
Meriwether,18.40933585960687,6.800000000000001
Worth,18.406997671724792,7.1
McDuffie,18.352566246563402,7.400000000000001
Brantley,18.32691522722141,9.7
Elbert,18.30906127550078,6.6000000000000005
Berrien,18.29574624105065,7.000000000000001
Towns,18.283685601388925,8.4
Emanuel,18.27526961142068,7.3
White,18.245359012103858,8.6
Union,18.22837845332506,9
Burke,18.226207110344234,8
Greene,18.169395546296833,7.7
Toombs,18.166614462004826,6.9
Cook,18.1290671465944,7.5
Gilmer,17.926961133998027,8.1
Dougherty,17.87046539242556,4.6
Tattnall,17.852499906051154,7.400000000000001
Coffee,17.83430297165059,6.4
Rabun,17.743847610079513,8
Spalding,17.730761171156253,5.800000000000001
Dodge,17.720503998047892,6.7
Bibb,17.683261127702153,4.3
Seminole,17.672075253473995,8.7
Montgomery,17.67053233990013,7.5
Laurens,17.64680643658344,4.8
Twiggs,17.619702008919283,8.6
Washington,17.566804795773084,6.9
Wayne,17.494835186389018,6
Dawson,17.426659007189198,9.2
Fannin,17.41533975986853,7.8
Chattooga,17.401806410756773,5.2
Baldwin,17.356382453278904,6.199999999999999
Pierce,17.329140406312266,6
Glynn,17.302031896027746,5
Heard,17.298103864489917,6.6000000000000005
Troup,17.20764587546345,5.4
Bleckley,17.197195873579943,5.700000000000001
Jasper,17.162891723799067,8.2
Chattahoochee,17.157083669725885,7.200000000000001
Thomas,17.14880099042873,4.9
Jones,17.1287842171414,6.4
Marion,17.12871509607123,8.3
Long,17.097255683332826,7.400000000000001
Oglethorpe,17.079950974750062,6.800000000000001
Crawford,16.981992330148316,6.1000000000000005
Bulloch,16.972835794795497,5.1
Haralson,16.941498793268998,6.4
Polk,16.927364801385913,5
Monroe,16.91207415228762,6.1000000000000005
Pickens,16.890384212678466,5.1
Lamar,16.792856632932214,7.3
Clarke,16.71402673975201,4.4
Banks,16.701410157820433,5.800000000000001
Stephens,16.69591608189126,6.4
Carroll,16.692775549948827,4.6
Richmond,16.634037518867224,3.3000000000000003
Whitfield,16.589695931923462,4.6
Lowndes,16.547779327072785,3.6000000000000005
Murray,16.45356381470671,4.6
Camden,16.42115880495039,3.5000000000000004
Schley,16.396156584966675,6.4
Gordon,16.329253889157155,4.4
Floyd,16.31715139586362,3.2
Lumpkin,16.276296895027663,5
Lee,16.26146650964932,5.4
Walker,16.253819116254174,4
Walton,16.210641327421392,3.4000000000000004
Catoosa,16.20342431525587,4.9
Morgan,16.18993550485737,5.2
Habersham,16.173386315738227,4
Rockdale,16.16842032110152,3.9
Muscogee,16.14932181784884,2.7
Liberty,16.140434038119007,3.3000000000000003
Newton,16.124643503967462,3.9
Douglas,16.091090365170786,3.8
Clayton,16.059156924974165,2.7
Hart,15.896306589975193,4
Hall,15.855601598591026,2.3
Pike,15.827306648472629,4.2
Harris,15.757408222320665,3.8
Chatham,15.709357914008592,2.1
Columbia,15.650899598242324,3
Bryan,15.611647961396475,3.2
Bartow,15.60797728269632,2.5
Henry,15.59897299902345,2.5
Barrow,15.581026953458297,2.5
Coweta,15.570266389376997,2.6
Dade,15.555003901187705,3.6000000000000005
DeKalb,15.54668920326831,1.6
Jackson,15.5255293746075,2.7
Houston,15.476781002483897,2
Oconee,15.476266311072695,3
Fulton,15.389473440367174,1.3
Paulding,15.379949120567726,2
Cherokee,15.324937979491876,1.7000000000000002
Effingham,15.323503398310242,1.9
Gwinnett,15.300504216419016,1.2
Fayette,15.257684254551169,1.6
Cobb,15.19420597808629,0.9000000000000001
