county,pov,moe
Pope,24.36939586963247,11.700000000000001
Johnson,24.17405057937123,10.7
Pulaski,23.880561781168026,9.1
Warren,21.962047152890936,9.7
Alexander,21.752583821682435,10.3
Perry,21.283358795001824,8
Union,21.079360681901786,7.8
Scott,20.419180752440443,9.2
Gallatin,19.80574261024205,7.200000000000001
Stark,19.450331316647677,8.6
Bond,19.338517634246294,6.5
Hamilton,19.254557460480743,7.9
Hardin,19.213215261109763,8.7
Lawrence,19.106967644810325,7.200000000000001
Schuyler,18.936049122229214,8.8
Clay,18.832583140963223,6.6000000000000005
Mason,18.622642200402762,6.800000000000001
White,18.54162230327732,6.6000000000000005
Jackson,18.53539418603323,4.8
Montgomery,18.505203087592463,6.7
Fayette,18.467089061998543,6.1000000000000005
Massac,18.402931414150736,6.6000000000000005
Coles,18.391853030701448,5.1
Wayne,18.344058014029777,5.800000000000001
Edgar,18.29704528589876,6.1000000000000005
Hancock,18.2496854007941,5.800000000000001
Wabash,18.220094556878948,6.199999999999999
Carroll,18.179715439337073,6.1000000000000005
Franklin,18.08140055895993,4.6
Henderson,18.04335648025861,6.5
Jasper,18.025206434848844,7.200000000000001
De Witt,17.97108393180832,6
Edwards,17.932134498228958,6.1000000000000005
Saline,17.878242899238966,4.8
Greene,17.816749487747117,5.1
Marion,17.793290731165897,4.2
Vermilion,17.73838219415583,3.9
McDonough,17.65105834140905,4.8
Stephenson,17.549526473363454,4.7
Lee,17.50969935745173,5.3
Fulton,17.48300995651821,4.4
Whiteside,17.423482097742195,4.5
Effingham,17.41742715109488,4.9
Richland,17.346532486421978,4.9
Calhoun,17.3109215821762,5.5
Macoupin,17.29719140400962,4.1
Marshall,17.285228395204413,4.4
Christian,17.205223583513206,4.8
Cass,17.134326152949033,5
Williamson,17.092658559756696,4
DeKalb,17.091223564839044,3.8
Washington,17.08193521713812,5.2
Morgan,17.07622792765434,3.8
Brown,17.0659995113998,5.4
Jefferson,17.04698941141056,3.5000000000000004
Logan,17.043830473401574,4.3
Ford,17.022745167242658,4.1
Randolph,17.018846703698625,4.2
Moultrie,17.00626658377209,4.7
Pike,17.003797884494606,4.2
Adams,16.98805328113607,4
Knox,16.974045571832576,3.6000000000000005
Jersey,16.939764642080366,5.2
LaSalle,16.89903031589047,3.0999999999999996
Putnam,16.883255010647453,4.5
Boone,16.858728802449832,4
Macon,16.858222128951866,3.2
Bureau,16.83107623978711,3.5000000000000004
Menard,16.754464049349775,4.4
Rock Island,16.692367642565404,2.6
Peoria,16.684968227690163,2.7999999999999994
Cumberland,16.63484150053047,4.1
Douglas,16.634270047659925,4
Shelby,16.593413296468427,3.9
Piatt,16.5652469774587,4.4
Livingston,16.487407122462105,3.3000000000000003
Ogle,16.464753897170244,3.5000000000000004
Winnebago,16.45321872887467,2.1
Mercer,16.41792457430344,3.6000000000000005
Henry,16.360595138665257,3.2
St. Clair,16.34037296777864,2.3
Clark,16.33151481517755,3.6000000000000005
Sangamon,16.301885858738785,2.4
Kankakee,16.284055187245652,2.3
Champaign,16.231173269693304,2.6
Crawford,16.225775708681404,3.3000000000000003
Iroquois,16.162497314939987,2.7999999999999994
Woodford,16.108562724357714,3.2
Jo Daviess,16.0623064083396,2.7999999999999994
Grundy,15.990113744592513,2.7
Tazewell,15.898848526212959,2.2
Clinton,15.880101106304457,2.4
Monroe,15.73360652460138,2.3
Kendall,15.725033041473225,2.2
Madison,15.718326271353666,1.5
McHenry,15.662914384609383,1.8000000000000003
McLean,15.645826382492553,1.6
Kane,15.469551753648785,1.1
Lake,15.447614791369293,1.1
Will,15.338587425775868,0.9000000000000001
Cook,15.323130946365627,0.6
DuPage,15.245750121928985,0.6999999999999998
