county,pov,moe
Stanton,42.05588637676657,28.199999999999996
Barber,30.79629655596765,13.900000000000002
Phillips,27.93889080707054,13.100000000000001
Wallace,25.91167301879808,14.000000000000002
Cheyenne,24.811858532782153,14.2
Jewell,24.14707787256064,10.899999999999999
Mitchell,23.030402845508323,14.000000000000002
Stevens,22.525282342194352,13
Kearny,22.123963788800676,10.6
Morton,21.561958980375053,12.200000000000001
Russell,21.525950791865267,9.8
Clark,21.394545088850528,11.600000000000001
Ness,21.309137199114467,10.8
Lincoln,20.94018484685456,11.9
Decatur,20.230933019744217,8.9
Chautauqua,20.102302730545023,7.9
Clay,19.917942902347217,9.2
Comanche,19.852240370137693,10.7
Logan,19.774990809050635,9.3
Hamilton,19.76249477874506,10.4
Osborne,19.646471904894486,8.2
Allen,19.62666954142262,6.800000000000001
Lane,19.607537303866224,10.5
Greenwood,19.593912139420166,7.400000000000001
Wichita,19.532007563722473,8.4
Anderson,19.331829828554316,8.9
Greeley,19.22966127598112,8.5
Woodson,19.22301618788511,7.9
Edwards,19.172579464485768,7.5
Harper,19.142217094891603,7.400000000000001
Elk,19.066786744408425,7.400000000000001
Sherman,19.028382933006302,8.6
Republic,18.80686290520936,7.3
Trego,18.767251395009907,8.7
Washington,18.666944633488185,7.3
Neosho,18.651255683204674,6.1000000000000005
Geary,18.495884456453012,4.5
Morris,18.446451104023033,7.6
Crawford,18.410749332279018,4.8
Montgomery,18.25845098638947,4.6
Chase,18.180426530502455,7.200000000000001
Finney,18.167972776645453,5.800000000000001
Barton,18.150613802869714,5.2
Hodgeman,18.125904420529462,7.1
Rice,18.03540397452763,6.1000000000000005
Stafford,18.008347072268265,6.3
Jackson,18.008117416023627,6.199999999999999
Seward,17.976533773476405,5.5
Lyon,17.921645600940327,5.3
Rawlins,17.901216591559354,6.7
Atchison,17.82634940725501,5.9
Bourbon,17.815721839209388,5.3
Haskell,17.81157853222932,6.199999999999999
Kingman,17.793261338614812,6.199999999999999
Wilson,17.772476057845875,5.3
Graham,17.720641074663867,6.199999999999999
Osage,17.653277649804483,5.2
Pratt,17.632074243859353,5.9
Cloud,17.522945725200476,5.599999999999999
Cowley,17.470482419243382,4.4
Marshall,17.424897449661547,5.599999999999999
Harvey,17.36476384933297,5
Rush,17.35782997204347,5.5
Ford,17.344811432989705,4.4
Doniphan,17.32570930576105,5.3
Ottawa,17.241169728585614,4.8
Grant,17.192424754469315,5.4
Ellsworth,17.1787796823967,4.9
Coffey,17.079656818274934,4.3
Brown,17.06920135587295,3.8
Pottawatomie,17.055594044046245,4.7
Pawnee,17.053320400639517,5.2
Cherokee,17.04118817568868,4.4
Linn,17.025233849920497,4.6
Riley,16.989313396228674,3.5000000000000004
Sumner,16.973688198105428,4.2
Saline,16.88020991599506,3.9
Dickinson,16.841116539542554,4.1
Wyandotte,16.836001434215035,2.6
Reno,16.808356257610612,3.6000000000000005
Labette,16.79032895706383,4
Thomas,16.7773619322818,4.8
Scott,16.67485623496087,4.8
McPherson,16.661969652633136,3.8
Ellis,16.65062283089485,3.7000000000000006
Nemaha,16.61634001757998,3.9
Meade,16.60198357019064,4.1
Norton,16.445617991807087,3.5000000000000004
Gray,16.37004982280055,3.7000000000000006
Smith,16.333161121990454,3.4000000000000004
Miami,16.284858940334185,3.3000000000000003
Gove,16.181867647929934,3.4000000000000004
Butler,16.169146984658248,2.7
Jefferson,16.147494934285454,3
Shawnee,16.133093022626984,2.2
Marion,16.09738856057052,2.9000000000000004
Douglas,16.086156535457185,2.5
Kiowa,16.02340728193491,2.9000000000000004
Leavenworth,15.962192956787606,2.2
Franklin,15.959662442654347,2.5
Wabaunsee,15.845456402214328,2.3
Sedgwick,15.781269014642938,1.3999999999999997
Sheridan,15.606022781192443,1.9
Rooks,15.537277362474406,1.6
Johnson,15.259198615124427,0.6999999999999998
