county,pov,moe
Leslie,28.57878507934354,14.099999999999998
Wolfe,26.935901366552518,16.5
Lee,26.22082859654195,14.3
Fulton,26.067554061923765,14.2
Elliott,24.58121194140288,14.000000000000002
Menifee,24.131289777610775,11.9
Hickman,23.998174307366625,13.4
Magoffin,23.12677103444706,11.700000000000001
Owsley,23.095735751432535,15.8
Marion,22.22720024873684,11.199999999999998
Livingston,22.092155945898707,12.3
Clinton,21.85302775771939,11.400000000000002
Crittenden,21.849723669501095,11.3
Todd,21.723634408988648,11
Robertson,21.595467907216275,14.099999999999998
Cumberland,21.429594001134276,11.8
Knox,21.361024407559302,7.6
Casey,21.0642342023097,9.3
Breckinridge,20.978604200965588,9.5
Harlan,20.978330728648142,8.3
Bracken,20.94338415813726,11
Clay,20.935880717490207,8.1
Lewis,20.916975473258073,9.6
McCreary,20.909044141981507,9.1
Floyd,20.898318926642958,7.5
Knott,20.859446428704338,8.4
Carroll,20.823602472980678,10.4
Breathitt,20.760895745128728,8.4
Lawrence,20.729794207063478,9.2
Rowan,20.597132484771553,9.1
Metcalfe,20.48180164973917,9.1
Carlisle,20.429911789662782,9.3
Trigg,20.397576545750002,9.7
Martin,20.15314180957072,9.7
Letcher,20.07678267247309,8
Wayne,20.03236630775725,7.400000000000001
Rockcastle,19.88950029407666,7.9
Estill,19.749028007542382,7.9
Fleming,19.684002280515976,8.4
Perry,19.674189998381443,8.4
Powell,19.608866433871043,8.3
Green,19.17608669426057,7.6
Gallatin,19.16261222458629,8.3
Allen,19.14285012972097,7.7
Bell,19.09384611511226,7.1
Garrard,19.05961187342236,8.2
Larue,19.030360547408993,7.7
Monroe,19.011241166855548,7.3
Adair,18.953679484991785,6.9
Bath,18.903722402100094,6.7
Morgan,18.886353963907233,7.3
Jackson,18.84565410175901,8.5
Grayson,18.807740078487367,6.800000000000001
Hart,18.791811369941506,6.800000000000001
Hancock,18.705951168936995,7.6
Carter,18.703498444480598,6.6000000000000005
Graves,18.63535575175418,6.7
Logan,18.606242873739145,7.3
Henry,18.55193853780236,7.3
Barren,18.525147811529372,6
Johnson,18.43976401775316,6.800000000000001
Edmonson,18.390828092993466,7.7
Mason,18.349910065378904,6.4
Russell,18.349907434586456,6.199999999999999
Taylor,18.31652503171189,7.6
Calloway,18.28157538935988,7.000000000000001
Hopkins,18.275096543879947,5.800000000000001
Butler,18.183602183638783,6.199999999999999
Lyon,18.157692458303277,8.4
Harrison,17.9726873691948,6.6000000000000005
Nicholas,17.97174344371635,7.3
Union,17.97104081081255,6.199999999999999
Whitley,17.914376466227246,5.700000000000001
Anderson,17.867044476250516,6.6000000000000005
Muhlenberg,17.852066112223998,5.9
Ballard,17.83450735895917,6.1000000000000005
Pike,17.825371093094837,4.7
Mercer,17.712195543008164,6.6000000000000005
Pendleton,17.639556241432867,5.9
Ohio,17.57152591089644,5.800000000000001
Webster,17.554008068243704,6.1000000000000005
Laurel,17.467489870157035,4.5
Boyd,17.452163291803465,4.9
Clark,17.385541205798667,5
Caldwell,17.378316055846494,5.5
Pulaski,17.35677173739674,4.2
Montgomery,17.355154037874716,5.3
Owen,17.311525708992164,6
Greenup,17.281940361004455,4.9
Meade,17.271397432195386,5.1
Bourbon,17.25530017429256,5.3
Lincoln,17.217850190307004,5.2
Simpson,17.18376323067714,5.599999999999999
Henderson,17.142846506416102,4.2
Marshall,17.12274062588818,5
Franklin,17.06270453045478,4.4
McCracken,17.039142691248667,4.2
Spencer,16.993596148098717,5.1
Washington,16.94481106774892,4.8
Grant,16.899791232851076,4.7
Jessamine,16.8078736149177,4.2
Boyle,16.774882236548006,4.2
Woodford,16.733489771054284,4.6
Trimble,16.557389254453827,4.7
Bullitt,16.55275500925534,3.7000000000000006
Christian,16.51085353373095,3.4000000000000004
Warren,16.495280819189507,3.0999999999999996
Kenton,16.469727750244072,3.3000000000000003
Nelson,16.345107288057648,3.5000000000000004
Madison,16.324097523436983,3
Shelby,16.312453848830007,3.5000000000000004
McLean,16.257544035620363,3.6000000000000005
Daviess,16.13718465796275,2.6
Scott,16.07084116232212,2.7999999999999994
Campbell,16.025029116679114,2.7
Fayette,16.008259572127624,2.3
Hardin,15.888244175142741,2.3
Boone,15.70898353549082,2.1
Oldham,15.66981465289691,2.1
Jefferson,15.56503939349287,1.2
