county,pov,moe
East Carroll,31.80553117159592,11.400000000000002
Tensas,22.87252652083009,9.6
Bienville,22.480018136929097,9.7
Claiborne,21.9790842791515,8.7
Madison,21.94940184701925,8.6
Union,21.236305308728944,9
Catahoula,21.14398087249211,11.5
Concordia,20.689658074087568,7.3
Jackson,20.14523352240458,8.1
St. Helena,20.00996034543145,9.9
Morehouse,19.858310899516795,8.2
Red River,19.436650476611767,9.2
Evangeline,19.10814209764781,7.9
West Feliciana,18.856869254342147,12.399999999999999
Franklin,18.689717050775318,7.000000000000001
West Carroll,18.42261004599798,9.6
Cameron,18.2224639468717,15.9
Lincoln,17.797018778733506,5.800000000000001
Caldwell,17.782655089921146,8.1
Winn,17.576532490667727,7.5
Acadia,17.525949387013597,5.599999999999999
Webster,17.519684820729754,5.1
Washington,17.432938074053382,5.800000000000001
Allen,17.204046353631497,6.9
Richland,17.14918973908362,5.700000000000001
Avoyelles,17.131761073524608,4.3
LaSalle,17.107883294872455,7.400000000000001
Pointe Coupee,16.98749327483881,7.400000000000001
Iberia,16.94943441850027,4.4
Sabine,16.944880649089683,5
St. Landry,16.854748241412178,3.9
St. Bernard,16.84637044986321,5.2
West Baton Rouge,16.77448041420603,7.5
De Soto,16.679682939651354,5.599999999999999
Natchitoches,16.594449050460057,4.7
Iberville,16.54496504942339,5.9
Plaquemines,16.363648305137456,5.700000000000001
Vermilion,16.30681731152544,4.7
St. Mary,16.27789743499548,4.3
St. James,16.268687727389114,6.3
East Feliciana,16.24584930105399,6.7
Ouachita,16.235254806065587,3
Tangipahoa,16.219158149293232,3.8
St. Martin,16.180100833128066,4.8
Lafourche,16.111081742932313,4.2
Caddo,16.09344741111272,2.9000000000000004
Vernon,16.068526787652456,3.9
Rapides,16.030517674359324,3.5000000000000004
Orleans,16.021704948932626,2.5
Jefferson Davis,16.020350669913245,5.2
Assumption,16.00856344543025,6
St. John the Baptist,15.960269646800029,5.2
Grant,15.955388239288276,5
Calcasieu,15.90423221944569,3.0999999999999996
Terrebonne,15.861251561139447,3.6000000000000005
Lafayette,15.850457078973177,3
Bossier,15.805740516826544,3
Beauregard,15.748915597827478,4
St. Charles,15.722864630134787,4.4
East Baton Rouge,15.586748395844923,2.1
Jefferson,15.553379721232574,2
Livingston,15.477920026022746,3.0999999999999996
Ascension,15.446999913537034,2.7
St. Tammany,15.41206469361881,2.1
