county,pov,moe
Oxford,27.714326418720482,4.4
Washington,23.379896957793044,2.9000000000000004
Somerset,19.4351592663207,4.2
Piscataquis,18.47680210782682,5.3
Franklin,17.91841140224591,4.8
Androscoggin,17.80585877626236,3.6000000000000005
Aroostook,17.45876251859967,2.9000000000000004
Waldo,17.24088077049018,4.1
Lincoln,17.10804532359788,4.3
Kennebec,17.060619879868693,3
Sagadahoc,16.655428595599652,5.700000000000001
Knox,16.38380976120438,3.9
Hancock,16.214960814425304,3.3000000000000003
Penobscot,16.176583436426725,2.4
York,15.351266414465744,2.3
Cumberland,15.00019809220615,1.3
