county,pov,moe
Montmorency,23.706626935598784,9.7
Luce,21.68700853730398,9
Keweenaw,20.816846678166783,10.1
Schoolcraft,20.49653765201356,7.5
Ontonagon,20.030320328395796,7.7
Lake,20.001741384242873,6.6000000000000005
Ogemaw,20.001741384242873,6.6000000000000005
Iron,19.919751965775056,7.1
Alcona,19.75436768605355,6.5
Chippewa,19.469688576782122,5.700000000000001
Clare,19.44715305998873,5
Oscoda,19.398536038706897,6.9
Mason,19.27707702387225,5.700000000000001
Mackinac,19.268632545835583,5.700000000000001
Presque Isle,19.01529879264955,6.1000000000000005
Baraga,18.929223574160233,6.4
Roscommon,18.718568012899397,4.8
Kalkaska,18.630894809395414,5.599999999999999
Iosco,18.480322658744466,5.1
Newaygo,18.436635097181213,4.8
Gogebic,18.3781749155994,5.4
Hillsdale,18.356699383220434,4.5
Alpena,18.193553432681426,4.6
Branch,18.094397251221253,4.5
Crawford,17.99379912714918,4.6
Gladwin,17.978966869512693,4.5
Cheboygan,17.912767605745746,4.4
Sanilac,17.886156212552695,4
Osceola,17.84981912357852,4.2
Cass,17.824730707930726,4.1
Gratiot,17.793018272158392,4
Delta,17.684975704339987,4.3
Charlevoix,17.629361105693498,4.6
Oceana,17.586664151660827,3.9
Missaukee,17.583401945659276,4.2
Dickinson,17.505080932180153,4.5
St. Joseph,17.440702678702362,3.8
Arenac,17.386190894701326,3.8
Saginaw,17.338215646885303,3
Shiawassee,17.29386427583678,3.8
Wexford,17.269309255872134,3.5000000000000004
Bay,17.26033415759206,3.2
Antrim,17.258816110686663,3.7000000000000006
Mecosta,17.250774968076254,3.4000000000000004
Isabella,17.23914359709741,3.3000000000000003
Berrien,17.190044150699656,3
Grand Traverse,17.151137736508463,3.4000000000000004
Benzie,17.092943631025292,3.6000000000000005
Otsego,17.04470778774236,3.4000000000000004
Clinton,16.965536494102643,3.4000000000000004
Alger,16.956653494137953,3.7000000000000006
Emmet,16.955781920142947,3.5000000000000004
Marquette,16.951286173126572,3.3000000000000003
Calhoun,16.936854037227416,2.7
Van Buren,16.92706342806702,2.9000000000000004
Manistee,16.883834916869468,3
Leelanau,16.718036446473565,3
Barry,16.629721106396335,2.9000000000000004
Houghton,16.621727862840352,2.7999999999999994
Montcalm,16.62042475354439,2.6
Huron,16.611313937502135,2.6
Monroe,16.587276185887927,2.6
Muskegon,16.56493389207209,2.4
Ionia,16.511570400184933,2.6
Menominee,16.43169703872797,2.5
Midland,16.41113493464378,2.4
Tuscola,16.40412893367009,2.3
Jackson,16.40243178045727,2.2
Lapeer,16.37799693678211,2.3
St. Clair,16.348809375072356,2.1
Allegan,16.328026686010766,2.2
Genesee,16.291236024818275,1.8000000000000003
Lenawee,16.289276485271326,2.1
Ingham,16.270146738445018,2
Kalamazoo,16.131946228425225,1.9
Washtenaw,15.862262088946242,1.5
Eaton,15.833448107890568,1.5
Livingston,15.818945632793055,1.6
Wayne,15.746331447673764,0.9000000000000001
Kent,15.724378192369509,1.2
Macomb,15.601384643453637,1
Ottawa,15.570664010647462,1.1
Oakland,15.32898607113953,0.6
