county,pov,moe
Mahnomen,27.136402490596822,4.2
Lake of the Woods,23.29153154998406,11
Watonwan,23.134477109994457,8.1
Koochiching,22.314172438966448,7.5
Pipestone,18.768877977265483,5
Todd,18.314050653306253,4.3
Mower,18.069393504029996,4.3
Nobles,17.975567779628335,5.599999999999999
Cass,17.883799297825206,3.7000000000000006
Grant,17.87740700104279,6.1000000000000005
Beltrami,17.824111001832833,3.0999999999999996
Clay,17.73730310178609,4.4
Carlton,17.55048666825286,4.8
Martin,17.37234381092378,5.2
Cottonwood,17.365651975950406,4.8
Big Stone,17.31649895682633,5.5
Faribault,17.2795484120024,4.2
Wilkin,17.262148645022897,6.9
Kandiyohi,17.125436225424274,3.6000000000000005
Roseau,17.05186948902219,4.6
Chippewa,17.005867517774483,5.800000000000001
Pennington,16.933708346580104,4.7
Wadena,16.890414118779727,5
Mille Lacs,16.745312443255465,3.7000000000000006
Cook,16.657606385576756,5.5
Aitkin,16.624044664991246,3.6000000000000005
Jackson,16.597270122479255,4.5
Polk,16.43886711250941,3.3000000000000003
Stearns,16.427387470624133,3.2
Becker,16.41944889994852,2.7
Itasca,16.39953133226572,3
Sibley,16.373045966821994,5.4
Renville,16.34174614590046,3.3000000000000003
Swift,16.317465960949207,3.4000000000000004
Traverse,16.28689334522481,4.6
Nicollet,16.278605755882506,3.9
Rice,16.228900438051063,3.8
Crow Wing,16.22085694394738,2.7999999999999994
Ramsey,16.213481152756042,1.7000000000000002
Pope,16.211132538216052,4.2
Isanti,16.175393618863517,3.9
Freeborn,16.165244871178565,3.2
Kanabec,16.145255320943942,3.8
Lyon,16.086191131954592,3.0999999999999996
Marshall,16.04509301671338,4.4
Benton,16.03959987993279,3.5000000000000004
Red Lake,15.956788250261647,4.1
Goodhue,15.950758126169044,2.9000000000000004
Blue Earth,15.943058338108685,2.7999999999999994
Fillmore,15.943058338108685,2.7999999999999994
Norman,15.9407907550447,3.7000000000000006
Pine,15.910999013897401,2.6
Lac qui Parle,15.866953583556587,3.3000000000000003
Kittson,15.818188676226614,4
Morrison,15.766948610934712,2.7
Le Sueur,15.736315534502609,3.0999999999999996
Rock,15.736315534502609,3.0999999999999996
Redwood,15.70932565927357,2.7
Yellow Medicine,15.688811306470182,2.9000000000000004
St. Louis,15.683022237293818,1.7000000000000002
Douglas,15.662858638919447,3
Hubbard,15.635669429084256,2.5
Wabasha,15.628826747581712,2.9000000000000004
Brown,15.628481870024444,3.2
Clearwater,15.614677827112814,2.5
Stevens,15.558654239390894,3.0999999999999996
Steele,15.531826641386987,2.5
Otter Tail,15.483380870928787,2
Winona,15.468007444420548,2.2
McLeod,15.459615358319414,2.7999999999999994
Meeker,15.432081285641805,2.2
Lincoln,15.377541187190946,2.3
Lake,15.349267683946048,3.0999999999999996
Murray,15.340858742424821,2.3
Olmsted,15.27546346830791,1.6
Scott,15.26964944537367,2.1
Hennepin,15.244602352298303,0.8
Chisago,15.24396854581427,1.9
Sherburne,15.214075706585753,2.4
Houston,15.195508977302898,2.1
Anoka,15.180563176482625,1.1
Waseca,15.158068011993631,2.4
Dodge,15.125167673480904,1.7000000000000002
Dakota,15.119116748379904,0.9000000000000001
Wright,15.081348449694504,1.3999999999999997
Washington,15.024448700525062,0.9000000000000001
Carver,15.000152378620113,1
