county,pov,moe
Liberty,31.196870627527375,18.2
Wibaux,27.355338995504177,16.4
Judith Basin,25.84858611028084,17.5
Wheatland,24.84491532174697,15.299999999999999
Meagher,23.44616715145801,14.6
Deer Lodge,22.766534490377676,10.6
Daniels,22.764995674305155,15.7
Roosevelt,22.519879689090033,6.6000000000000005
Lincoln,22.343240070130424,9.1
Glacier,22.114736543569006,8.2
Pondera,21.318681442815457,8.2
Carter,21.240363818908836,12.9
Fergus,20.689177071846363,10.6
Rosebud,20.397589474169333,8.8
Teton,19.89998160424947,10.899999999999999
Sanders,19.728033606580745,9.1
Mineral,19.42578853532939,9.2
Big Horn,19.28672868595639,5.5
Treasure,18.952050379180253,11.3
Musselshell,18.51412208112105,9.6
Blaine,18.451181532140392,6.5
Lake,18.193542543059998,5.700000000000001
Park,18.11780830767599,7.9
Hill,18.081395983702453,6.7
Prairie,17.55620635281432,10.4
Valley,17.51964408842543,7.5
Toole,17.210805173143495,9.4
Powder River,16.999132337416988,8.5
Silver Bow,16.95760453711897,4.9
Broadwater,16.86465028031358,8
Chouteau,16.824474925586195,5.700000000000001
Beaverhead,16.69636007045053,6.4
Golden Valley,16.63832078926576,7.8
Garfield,16.60859153411394,10.4
Carbon,16.460212771068054,5.599999999999999
Cascade,16.16943537941085,3.3000000000000003
Sheridan,15.997237853380774,5.1
Ravalli,15.890122283526553,3.5000000000000004
Fallon,15.768841887871346,6.6000000000000005
Powell,15.625539274153441,6.1000000000000005
Flathead,15.595281294294578,2.7
Lewis and Clark,15.583992608184493,2.7
Stillwater,15.578285989593313,4
Custer,15.53804196549004,4
Yellowstone,15.51592089942898,1.9
Gallatin,15.514409933259637,3.2
Dawson,15.460598931815738,3.7000000000000006
Missoula,15.43472413903991,2.2
Madison,15.429443990045097,3.0999999999999996
Sweet Grass,15.389030298583476,5.2
Phillips,15.293272951562898,3.0999999999999996
Jefferson,15.277862823105199,3
Richland,15.26003116259696,3
Granite,15.102375344049806,2.6
McCone,15.087060902442603,2.6
Petroleum,15.004678023637508,30.7
