county,pov,moe
Sioux,28.24007563238152,8.7
Golden Valley,23.94265197968793,10.899999999999999
Grant,23.419941465814606,11.199999999999998
Bowman,22.508445179606205,11.199999999999998
Billings,22.472878899236626,14.6
Steele,22.348294420636044,10.4
Adams,22.307420296273886,11.5
McIntosh,22.278899778750123,11
Benson,22.077621088270945,7.3
Ramsey,21.858765897530223,8.8
Oliver,21.43581015394818,9.6
Ransom,20.91811557422842,8.9
Rolette,20.75498382429345,6.800000000000001
LaMoure,20.724106785890434,8.4
Pierce,20.701484586489897,8.8
Kidder,20.664646587023235,8.8
Burke,20.584668512753836,9.3
Wells,20.439080066917757,8.1
Towner,20.226610817202747,8.4
Barnes,20.05265153985688,7.5
Mercer,20.020936747588777,7.8
Hettinger,19.275014640437004,7.200000000000001
Eddy,19.10986940023011,6.800000000000001
Divide,19.024490784040424,6.800000000000001
Mountrail,18.65136390541478,5.700000000000001
Nelson,18.325680837226123,5.2
McKenzie,18.31411914550082,4.8
Dunn,18.290170655005817,5.4
Sheridan,18.256758912722788,5.9
Logan,18.245360890328087,5.599999999999999
Dickey,17.979594865345234,5.1
Morton,17.804188563753307,4.7
Bottineau,17.563156165430936,4.2
McHenry,17.559021620560078,4.2
Stutsman,17.540790461986575,4.3
Foster,17.53290897217532,4.5
Cavalier,17.522671771989557,4.6
Williams,17.15468714712061,3.7000000000000006
Slope,17.08837818733301,4
Richland,17.071429080020806,3.5000000000000004
Renville,17.065767117094946,3.7000000000000006
Sargent,17.026327177740257,3.6000000000000005
McLean,16.738586191247187,3
Walsh,16.699766385353055,2.9000000000000004
Grand Forks,16.60216084149625,2.6
Pembina,16.527162694515685,2.7
Stark,16.432496716759594,2.5
Cass,16.364459591463937,2.2
Emmons,16.344402862249023,2.5
Burleigh,16.297840682093966,2.2
Traill,16.255178507908294,2.3
Ward,16.008239319427993,1.8000000000000003
Griggs,15.568643869636228,1.1
