county,pov,moe
Blaine,37.57544239036715,21
Dundy,27.47048345005495,16
Boyd,26.74019169493841,13.900000000000002
Wheeler,25.791167145139728,19.3
Franklin,22.911524323174355,8.9
Sioux,21.692517678418653,12.6
McPherson,21.676145732174003,15.2
Red Willow,21.177579009635185,10.5
Rock,19.53816075579717,11.199999999999998
Burt,19.33262652026962,6
Dawson,19.02353219937243,6
Garfield,18.997742093766725,10.2
Custer,18.992352529210887,7.8
Kimball,18.955298543131974,11
Pawnee,18.91460775043271,8
Thurston,18.892058021638817,4.8
Chase,18.885457217192442,11
Greeley,18.87741103590922,7.3
Cherry,18.84096789401117,9.8
Hayes,18.816957367191378,8.9
Kearney,18.486052808256204,8
Keith,18.45571280954714,9.2
Nemaha,18.406295429657277,7.400000000000001
Phelps,18.27286234779238,6.3
Sherman,18.148470090746372,7.9
Frontier,18.102912697666046,6.9
Dakota,17.99644325751682,5.599999999999999
Nance,17.91956922691457,6.7
Cheyenne,17.8130249395063,7.000000000000001
Gage,17.70141019182863,5.2
Garden,17.554790482464366,7.5
Arthur,17.553956010867207,11.1
Richardson,17.547580746027812,6.5
Scotts Bluff,17.515819312590413,5.3
Keya Paha,17.515255605934996,9.6
Furnas,17.32946159694951,5.1
Dawes,17.310417199027718,6.6000000000000005
Otoe,17.30660759323598,5.599999999999999
Saline,17.29983205337922,4.7
Hall,17.26144514829493,3.9
Perkins,17.23174916266272,6.800000000000001
Polk,17.215306761397652,5.700000000000001
Dixon,17.1657574571279,6.3
Antelope,17.104273523070702,5.700000000000001
Sheridan,17.04215854231674,4.8
Merrick,16.75586574289141,5.3
Morrill,16.67683707062333,6.4
Madison,16.646129097433356,4.2
Adams,16.6291062636433,4.3
Hitchcock,16.54616215776977,4.3
Gosper,16.45973407351972,5.9
Colfax,16.2403629098431,5.599999999999999
Washington,16.23198675888214,3.9
Clay,16.227000940731564,4
Logan,16.2228866256925,5.9
Valley,16.202784854096326,5.1
Holt,16.19003197182809,4.3
Stanton,16.18262571219477,6.5
Box Butte,16.136084254886253,5
Thayer,16.10700648542148,4
York,16.090260943668394,3.7000000000000006
Knox,16.059670150143393,3
Cuming,16.041018870761174,4.7
Pierce,16.037696736867417,4.4
Wayne,15.964716299990037,4.3
Brown,15.919932077598967,5.3
Nuckolls,15.861428444191535,4.1
Buffalo,15.852913909995328,2.7
Lincoln,15.83958608796883,3.0999999999999996
Platte,15.837132126721512,2.9000000000000004
Webster,15.815034477607256,4.1
Johnson,15.763717196497254,4.4
Dodge,15.734373617173203,2.9000000000000004
Saunders,15.683538483523595,3.7000000000000006
Hamilton,15.675150345042873,3.6000000000000005
Boone,15.67464488261932,3.3000000000000003
Grant,15.56664367154778,4.2
Jefferson,15.533522565732142,3.8
Lancaster,15.472521636827125,1.3999999999999997
Fillmore,15.463322228135807,3.3000000000000003
Harlan,15.4580726335204,3.2
Douglas,15.450745149071366,1.2
Butler,15.43393022528253,2.5
Deuel,15.430204457023125,4.1
Seward,15.396562903936802,2.4
Cass,15.379333882112958,2.6
Cedar,15.30815839569646,2.6
Sarpy,15.172620761014732,1.1
Banner,15.056006024945859,2.6
Howard,15.0266110998039,0.9000000000000001
Thomas,15.00374851405481,24.6
Hooker,15.002544722955907,16.7
Loup,15.002468533645851,16.2
