county,pov,moe
Salem,19.322180844367093,4.2
Cumberland,18.348660367392572,3.0999999999999996
Atlantic,16.410032643969814,2.1
Passaic,16.379796377304583,1.5
Ocean,16.246142727188467,2.1
Cape May,16.13226382255316,3.3000000000000003
Hudson,16.091167301879807,1.3999999999999997
Essex,16.037191431121077,1.2
Camden,15.892707120744888,1.3999999999999997
Mercer,15.828674177113825,1.9
Warren,15.558895194054765,2.4
Union,15.395846864525916,1.2
Burlington,15.308037981994968,1.3
Sussex,15.306381134879764,2
Middlesex,15.274177322017794,1
Gloucester,15.19443469435265,1.1
Bergen,15.172813238108219,1
Somerset,15.158748755068979,1.3
Morris,15.105032829425918,1.2
Monmouth,15.10450003499406,0.6999999999999998
Hunterdon,15.000152378620113,1
