county,pov,moe
Sierra,31.59684808008877,17.3
Quay,30.00999809317789,15.7
Catron,29.287821217376898,20
Mora,28.209392485796553,19.7
Hidalgo,27.224422728470277,14.000000000000002
Harding,23.89182923600067,14.6
Guadalupe,23.513734893888564,14.800000000000002
Union,23.333623234449814,14.3
Colfax,23.204149747556656,11
Socorro,22.871992677847185,10.1
Roosevelt,21.29427973072714,9
San Miguel,21.290731392793603,8.9
Lincoln,20.76194148683331,9.1
Grant,20.533394886550475,7.5
De Baca,20.072425194780237,11.9
Luna,20.054495043799623,7.000000000000001
Cibola,20.010687280208916,6.7
Torrance,19.950482700088884,7.9
McKinley,19.857000639151597,4.4
Rio Arriba,18.675358972777495,5.700000000000001
Curry,18.166952878575582,5.2
Taos,17.964730634311337,5.800000000000001
Chaves,17.906021139267114,4.3
Otero,17.79645073488524,4.7
San Juan,17.606431424070244,3.6000000000000005
Valencia,17.360131955158504,4.2
Doña Ana,17.128330074587762,3.0999999999999996
Lea,17.069440582781716,3.8
Eddy,16.782877277588018,4.1
Santa Fe,16.287037108743547,2.6
Bernalillo,15.880515185195387,1.6
Sandoval,15.69991764105648,1.7000000000000002
Los Alamos,15.606022781192443,1.9
