county,pov,moe
Hardin,22.803745175703327,8
Vinton,20.58389223516303,9.7
Adams,20.548110219009168,5.800000000000001
Coshocton,19.471590621596814,6.1000000000000005
Scioto,19.36246246343955,4.2
Noble,19.273630793239384,8.8
Hocking,19.249377639573567,7.6
Harrison,18.712764350103285,7.200000000000001
Guernsey,18.232764001403996,5
Pike,18.2003261405173,5.599999999999999
Morgan,18.17923732392872,6.4
Gallia,18.0827600376563,6.3
Marion,18.000542005777866,5.1
Carroll,17.935611276242255,6.9
Meigs,17.85153628083523,6.1000000000000005
Jefferson,17.72791825469952,3.5000000000000004
Jackson,17.723001897017447,5.4
Crawford,17.456836898379166,4.8
Fayette,17.334907391499595,4.3
Ross,17.30084414629718,4.3
Perry,17.23013865019854,5.2
Brown,17.176965268811987,5.2
Trumbull,17.142529469901557,2.6
Ashland,17.126356672919837,6.3
Lawrence,17.068775956108183,3.7000000000000006
Williams,17.065922759588904,5.5
Belmont,17.056770172872483,4.3
Clinton,17.025584468985336,4.3
Ashtabula,16.98424229082662,3.3000000000000003
Washington,16.90189311711848,3.8
Monroe,16.75272144544686,6.199999999999999
Knox,16.70181563348795,4.2
Muskingum,16.686896804160682,3.5000000000000004
Pickaway,16.63415450781783,4
Athens,16.490248630745818,3.9
Mahoning,16.42278158574453,2
Sandusky,16.40946718153439,4.1
Clark,16.401476530375767,2.6
Henry,16.32032815093898,4.1
Columbiana,16.315187978052677,3.3000000000000003
Highland,16.314678119738392,3.5000000000000004
Shelby,16.2883575876932,4.2
Richland,16.243731170303032,2.9000000000000004
Lucas,16.237429539228213,1.9
Erie,16.214198725020456,3.5000000000000004
Defiance,16.126632265065822,4.3
Champaign,16.111439085242544,4.6
Logan,16.088906290007337,4.3
Madison,16.074248627854526,3.8
Allen,16.059674439465777,3
Preble,15.971901888122852,3.2
Seneca,15.942933531809825,3.2
Montgomery,15.93510520032515,1.8000000000000003
Morrow,15.927902721836471,4.3
Tuscarawas,15.902886884002449,2.7
Paulding,15.874679582403228,4.4
Holmes,15.861436149969387,4.1
Darke,15.821498454309706,3.4000000000000004
Ottawa,15.797382787095982,3.6000000000000005
Lorain,15.796858389516924,1.8000000000000003
Hancock,15.6954988272801,3.0999999999999996
Fulton,15.65524765114895,3.9
Stark,15.64330922601881,1.5
Huron,15.621812425459774,3
Franklin,15.593785784035965,1.3
Cuyahoga,15.588341569760367,1
Hamilton,15.560957956885618,1.2
Portage,15.552211058144385,2.4
Miami,15.545280697776354,3.3000000000000003
Greene,15.538450704991044,2.4
Van Wert,15.5178690836859,3.3000000000000003
Summit,15.490090511812523,1.3999999999999997
Licking,15.425893052858763,2
Mercer,15.363751398952855,3
Butler,15.342318162206436,1.3999999999999997
Wood,15.341175182212897,2.1
Fairfield,15.329553053254664,2.1
Wayne,15.282474045646854,1.8000000000000003
Lake,15.248029569466773,1.7000000000000002
Putnam,15.201467664294816,2.5
Clermont,15.180928204225028,1.6
Auglaize,15.141750913886511,2.2
Medina,15.094492715760802,1.6
Geauga,15.075205343052708,2
Union,15.058124557291814,2.4
Warren,15.031484135199733,1.3
Wyandot,15.022883145831825,2.7999999999999994
Delaware,15.000152378620113,1
