county,pov,moe
Cotton,23.148919742450758,10.4
Cimarron,21.48239007096102,11
Alfalfa,21.481556243536748,10.3
Kiowa,21.235241725027475,8
Beckham,21.160254581331696,8.1
Coal,20.794719292502013,7.9
Harper,20.678870800045615,9.7
Okfuskee,20.66807721453673,6.6000000000000005
Johnston,20.58345289715705,7.000000000000001
Jefferson,20.375896857177615,6.199999999999999
Texas,20.315292787255604,7.7
Greer,20.112760125473976,8.3
Woodward,20.074755644233587,7.6
Blaine,19.821501178779073,7.5
Harmon,19.721058471284493,7.200000000000001
Murray,19.55432190474085,6.9
Dewey,19.36351048986089,6.6000000000000005
Ellis,19.29945994442957,6.9
Tillman,19.298441835508427,6.3
McIntosh,19.106836387554463,5.4
Roger Mills,19.103767750292928,6.3
Nowata,18.950718459185754,5.800000000000001
Marshall,18.891588528339128,5.599999999999999
Adair,18.851845383956412,5.1
Pushmataha,18.841537562815024,5.3
Woods,18.774299818610196,6.5
Grant,18.726361626031242,6.199999999999999
Choctaw,18.606495243737882,4.9
Noble,18.42166446106496,6.1000000000000005
McCurtain,18.392807602018042,4.5
Hughes,18.388852464722422,5
Haskell,18.381095382902387,4.5
Payne,18.197085093744438,4.9
Craig,18.170075334671353,4.6
Kingfisher,18.161433228891376,5.4
Cherokee,18.127169353129656,4.5
Logan,18.110812125467792,5.1
Love,18.05983572518208,5
Major,18.03521138341772,5.1
Delaware,17.935351234157455,3.9
Garfield,17.90946014292314,4.7
Latimer,17.904205272588367,4.4
Pittsburg,17.8458156532424,4
Washita,17.78748477480951,4.6
Jackson,17.741684602244945,4.4
Muskogee,17.667395487038657,3.8
Atoka,17.648799949851586,4.1
Sequoyah,17.582948535334804,3.6000000000000005
Seminole,17.57166888201574,3.5000000000000004
Kay,17.554247403938582,3.8
Washington,17.52954123103428,4
Beaver,17.50802100042873,4.9
Pawnee,17.484274458440797,4
Caddo,17.481204615471487,3.4000000000000004
Mayes,17.458371427598745,3.7000000000000006
Stephens,17.427852786340832,3.6000000000000005
Custer,17.31346398395016,4.2
Okmulgee,17.281788950372874,3.3000000000000003
Garvin,17.132528991665293,3.4000000000000004
Bryan,16.9033995780054,3
Le Flore,16.894164020006947,2.6
Lincoln,16.824904185073454,2.9000000000000004
Osage,16.777617740610008,2.9000000000000004
Pontotoc,16.77179653817299,2.9000000000000004
Carter,16.696729862927526,2.7999999999999994
Ottawa,16.678461945760123,2.3
Comanche,16.599255989528405,2.5
Pottawatomie,16.51772473862057,2.4
Creek,16.466314376419028,2.4
Grady,16.38445448230273,2.4
Canadian,16.149095180573983,2.1
Rogers,16.081692971917597,1.9
McClain,16.04277059556491,2
Wagoner,16.02814168974536,1.8000000000000003
Cleveland,15.96147378738372,1.7000000000000002
Oklahoma,15.788142532312378,1.2
Tulsa,15.6344665260018,1
