county,pov,moe
Morrow,27.065540654485087,8.7
Lake,23.176489182555727,11.8
Malheur,21.17717712018124,6.5
Coos,19.98657119403754,4.9
Grant,19.83231233689629,6.199999999999999
Harney,19.77435215094881,8.4
Sherman,19.501916237122852,7.7
Klamath,18.754867042019924,4.6
Lincoln,18.39867718230739,4.8
Tillamook,17.708958628684037,4.8
Josephine,17.690619435993348,3.8
Wheeler,17.44010250602707,8.4
Union,17.30399503116834,4.2
Wallowa,17.00652298384743,6.1000000000000005
Douglas,16.911622260436708,2.9000000000000004
Crook,16.743372428588753,5.3
Jefferson,16.736628115018615,4.2
Baker,16.69486381213168,5.2
Yamhill,16.624778666624067,3.3000000000000003
Polk,16.587887817676542,3.5000000000000004
Curry,16.57121264274312,5.1
Umatilla,16.46339126961211,3.3000000000000003
Benton,16.429913386347327,3.2
Clatsop,16.388513788738674,4
Wasco,16.264388817661278,3.4000000000000004
Linn,16.18818805512057,2.7
Columbia,16.10539488237344,3.3000000000000003
Jackson,16.099127495277873,2.2
Marion,16.005728980356317,1.9
Lane,15.987426441929289,1.8000000000000003
Deschutes,15.741847635548073,2.1
Gilliam,15.724588426550614,4.7
Hood River,15.537714875193648,2.7999999999999994
Multnomah,15.50283304896215,1.1
Washington,15.335644373797738,1.1
Clackamas,15.241880217797066,1
