county,pov,moe
Forest,28.016067100994853,16.7
Sullivan,21.88285657794401,7.9
Mifflin,21.758520382649266,6.199999999999999
Cameron,20.07005540226562,9
Philadelphia,19.62339142498927,1.6
Jefferson,17.44143283255248,3.4000000000000004
Greene,17.25720881879368,4.7
McKean,17.254754140675992,4.3
Potter,17.228520537391756,3.9
Carbon,17.10477581149797,3.9
Cambria,16.989849315161777,3
Clearfield,16.894596946327777,3.2
Venango,16.85902031416406,3.3000000000000003
Mercer,16.805010302775514,2.7999999999999994
Columbia,16.79393267927642,3.6000000000000005
Lawrence,16.755538972405486,3.3000000000000003
Fayette,16.71755959408396,2.7999999999999994
Warren,16.703347552687887,3.6000000000000005
Pike,16.688618717095054,4.2
Luzerne,16.659116664046746,2
Fulton,16.65788885801491,3.9
Montour,16.64375018016866,5.700000000000001
Huntingdon,16.502795845450958,3.2
Wyoming,16.499886757439807,3.0999999999999996
Erie,16.461768919323166,2.3
Lycoming,16.445112436083782,2.9000000000000004
Blair,16.413542689322334,2.9000000000000004
Northumberland,16.403119869863048,2.9000000000000004
Wayne,16.37322715640891,3.5000000000000004
Susquehanna,16.321428753528785,2.9000000000000004
Bradford,16.316056986610448,2.7
Tioga,16.305145317558182,2.6
Juniata,16.295865503977673,4
Lebanon,16.252211510096444,2.9000000000000004
Clinton,16.23169231637268,3.3000000000000003
Monroe,16.196408426331708,3.0999999999999996
Schuylkill,16.18472922730167,2.6
Union,16.17694917357068,4
Crawford,16.088249825328372,2.3
Elk,16.06983928431638,3.6000000000000005
Clarion,16.0506752909678,2.7
Armstrong,16.03669240318214,3.2
Lackawanna,15.996629266264678,2
Indiana,15.995144985662128,2.6
Lehigh,15.989106063157788,1.9
Franklin,15.986877961307473,2.6
Somerset,15.97274078685481,2.4
Beaver,15.949647164083606,2.1
Snyder,15.810337050062634,2.7
Dauphin,15.804358566547055,1.7000000000000002
Bedford,15.799284004232964,2.4
Berks,15.736559562773934,1.5
Adams,15.663267616559285,2.3
Perry,15.643372868554817,2.4
Washington,15.566944708400285,1.8000000000000003
Northampton,15.532856002821976,1.6
Delaware,15.440858685332417,1.3
Centre,15.417619108273609,2
Westmoreland,15.396004780824649,1.2
Cumberland,15.355250831025677,1.3999999999999997
Allegheny,15.338759255156189,0.9000000000000001
Lancaster,15.287482371189363,1.2
York,15.28254383220429,1
Butler,15.250006779269729,1.3999999999999997
Chester,15.190441475553678,1.1
Montgomery,15.134155860508061,0.8
Bucks,15.123334200263935,0.8
