county,pov,moe
Allendale,30.43035684055416,20.1
McCormick,28.461693628451357,18.5
Lee,24.61957209897262,10.3
Dillon,23.530381972164484,8.9
Barnwell,22.516874230509487,8.6
Marion,20.972440562003424,7.5
Marlboro,20.689658074087568,7.3
Calhoun,20.062942067946043,9.1
Fairfield,19.999616063742472,9.3
Bamberg,19.897833481292672,8.2
Union,19.64212673082196,6.800000000000001
Jasper,19.462022938608875,8.3
Williamsburg,19.38784919709396,8
Georgetown,19.16925475804187,7.000000000000001
Hampton,18.859461304922927,6.800000000000001
Clarendon,18.54905037296216,6.199999999999999
Darlington,18.470254315189706,5.599999999999999
Chester,18.143055125508027,6
Colleton,18.0073924398647,6.4
Chesterfield,17.991045099164896,5.3
Orangeburg,17.96595628446751,4.1
Abbeville,17.959017571138354,5.599999999999999
Saluda,17.739345163520245,6.1000000000000005
Edgefield,17.69452850773811,5.700000000000001
Laurens,17.687965625667996,5
Greenwood,17.61081205921257,4.6
Newberry,17.43980689795722,5.1
Cherokee,17.2655620114633,4.3
Oconee,16.978499703608264,4.3
Kershaw,16.769641241445132,3.8
Dorchester,16.646388515686336,3.7000000000000006
Florence,16.50072436701637,3.0999999999999996
Sumter,16.36787214069175,3
Lancaster,16.324242543922253,3.4000000000000004
Beaufort,16.31452798245356,3
Horry,16.205105341228947,2.7
Anderson,16.196302146367785,2.6
Aiken,16.11583827891569,2.5
Pickens,16.005769212364797,2.7999999999999994
Richland,15.977959633430206,2.1
Charleston,15.91984967427909,2.2
Berkeley,15.842813750587226,2.2
Spartanburg,15.824839093635257,1.9
Lexington,15.725467596648542,1.9
York,15.574126845340208,1.8000000000000003
Greenville,15.520390462146757,1.3999999999999997
