county,pov,moe
Pickett,26.988706827888553,19.3
Hancock,26.227903938477116,11.3
Bledsoe,24.76061886628355,11.1
Lake,23.34890626211113,10.6
Sequatchie,23.187479095829076,9.5
Johnson,23.18375476409856,10.5
Perry,21.681227419146033,12.3
Lewis,21.441744556241904,11.600000000000001
DeKalb,21.025412239923263,9.7
Cocke,20.832750780806343,8
Unicoi,20.76053065985823,10
Haywood,20.74220308368408,8.3
Trousdale,20.400672569589382,11.5
Fentress,20.29173396037165,8.9
Decatur,20.27944042884745,9.3
Morgan,20.06715222057409,7.6
Jackson,19.893997580141647,8.6
Scott,19.67799849232201,6.4
Union,19.617108379084655,8.5
Van Buren,19.279426990819132,9.4
Hardeman,19.07375986206675,7.3
Crockett,19.033300324744996,6.800000000000001
Hickman,18.91920030144545,7.6
Macon,18.906306433557436,7.5
Cannon,18.86425704591016,7.8
Clay,18.864210759605992,8
Hardin,18.85015690615783,6.7
Henry,18.823299667143516,6.199999999999999
Lauderdale,18.76647342367166,6.7
Chester,18.765058431362732,7.000000000000001
Loudon,18.73729728369053,7.000000000000001
Wayne,18.68093049363258,6.5
Benton,18.638644730946403,6.9
Marshall,18.558670795075134,6.6000000000000005
White,18.49771176345071,6.6000000000000005
Weakley,18.490170870388457,6
Carroll,18.46786811953949,6.4
Carter,18.46406801872327,5.700000000000001
Rhea,18.334766039206993,6.199999999999999
Marion,18.326966633221787,6.5
Grundy,18.305818136089258,6.3
Warren,18.291515853266883,5.700000000000001
Stewart,18.288839963207764,7.3
Henderson,18.277399101630586,6.5
Grainger,18.27550662165666,5.700000000000001
Meigs,18.099079338554397,7.1
Overton,18.089750841567895,6.3
Smith,17.89357618496041,5.9
Houston,17.85874092870998,6.800000000000001
Campbell,17.857720486954275,5.3
Claiborne,17.843334522257802,5.5
Greene,17.838507178538393,5.2
Franklin,17.776277982170107,5.2
Bedford,17.76732012296051,5.3
Monroe,17.748963608223995,5.2
Fayette,17.73256754983889,5.599999999999999
Humphreys,17.63666277151423,5.599999999999999
Coffee,17.61641786249927,4.7
Madison,17.608941382234818,4.2
Hamblen,17.59860975351808,4.6
Hawkins,17.49520374113751,4.3
Roane,17.46984228743096,5.3
Dyer,17.38778791849331,5.3
McMinn,17.384940017968106,4.9
Polk,17.367342590665903,5.2
Obion,17.35794728217727,4.7
McNairy,17.29524143857336,4.9
Jefferson,17.213819981692254,4.8
Sullivan,17.173044670999342,3.8
Lawrence,17.077668055619604,4.1
Anderson,17.028710648793147,4.2
Putnam,16.989046390263077,3.8
Lincoln,16.986569761727292,4.6
Giles,16.97241954715438,4.2
Tipton,16.856843571423035,4.1
Gibson,16.844849984743547,4
Sevier,16.833444703576877,3.6000000000000005
Dickson,16.73300034098793,4.1
Moore,16.691370104005948,4.8
Washington,16.677718027707623,3.5000000000000004
Bradley,16.541797562532686,3.3000000000000003
Cumberland,16.338775274207524,3.0999999999999996
Cheatham,16.334922293189603,3.5000000000000004
Robertson,16.288676487466443,3
Montgomery,16.05255967705927,2.3
Maury,15.981817582294358,2.4
Sumner,15.974797977404688,2.3
Hamilton,15.966052689901497,2
Davidson,15.921152469252675,1.7000000000000002
Shelby,15.782405062302896,1.3
Blount,15.773756996170274,2
Wilson,15.769371816481502,2
Knox,15.649526102587913,1.5
Rutherford,15.642009046050557,1.6
Williamson,15.25516748681787,0.8
