county,pov,moe
Piute,27.876651364458247,13.8
Garfield,24.105457739994417,10.4
Grand,20.596881974167374,7.400000000000001
Carbon,20.144074423147664,6.6000000000000005
Sanpete,19.975542984491764,6
San Juan,19.483107348456972,4.6
Kane,19.426411703620975,7.5
Emery,19.118855965279952,5.5
Millard,18.630894809395414,5.599999999999999
Duchesne,18.519749643057413,4.7
Wayne,18.286883179253408,7.3
Rich,18.274753362810223,7.200000000000001
Sevier,17.490467576671215,4.2
Juab,17.222597270064387,4.1
Iron,17.16491498462963,3.9
Uintah,17.153106153815447,3.7000000000000006
Beaver,16.89519193983767,4.5
Cache,16.28685663909722,2.1
Wasatch,16.0427102740389,2.4
Washington,16.033588918743465,2
Box Elder,16.008909211402344,2.1
Weber,15.72777034258636,1.5
Summit,15.718508966505834,1.9
Davis,15.689132369847878,1.5
Tooele,15.608425772819512,1.6
Daggett,15.542230909487975,1.7000000000000002
Morgan,15.449327446572273,1.3999999999999997
Salt Lake,15.386242330122599,0.8
Utah,15.266071139929474,0.6
