county,pov,moe
Jefferson,27.89208070984027,7.3
Adams,24.24805956530808,7.400000000000001
Garfield,22.483810606748094,13.3
Wahkiakum,22.15549948199745,11.8
Okanogan,20.90216213439306,4.9
Lincoln,19.872877224580098,7.7
Ferry,18.986899547383718,6.3
Asotin,18.931363990702636,4.9
Klickitat,18.718950476656133,6.9
Grays Harbor,18.351442427202265,4.3
Pend Oreille,18.239810308892544,5.4
Mason,17.91106951078811,4.6
Stevens,17.714279050284393,4.5
Kittitas,17.57314379186634,4.8
Grant,17.329041429366725,3.7000000000000006
Pacific,17.179304166031052,4.2
Franklin,16.91988759045484,3.2
Skagit,16.899990908807165,3.0999999999999996
San Juan,16.718911455844033,3.5000000000000004
Yakima,16.710296736193026,2.4
Clallam,16.707131418884543,3.4000000000000004
Columbia,16.6821005223579,5.2
Chelan,16.549758215621303,3.3000000000000003
Skamania,16.519305723743077,4.3
Cowlitz,16.519269822422544,2.7
Lewis,16.48840670916016,2.9000000000000004
Whitman,16.250699148413627,3.0999999999999996
Douglas,16.198006574689888,3.0999999999999996
Whatcom,16.062570737746626,2.2
Benton,16.06058931490085,2
Walla Walla,15.984251712546044,2.5
Thurston,15.761890220522643,1.8000000000000003
Spokane,15.744880900137431,1.5
Island,15.701710588749144,2.2
Kitsap,15.61624937835716,1.5
Clark,15.547001530635058,1.3
Snohomish,15.332777748334339,0.9000000000000001
Pierce,15.322761070558355,0.8
King,15.228991697609606,0.6
