county,pov,moe
Menominee,30.587127643305088,10.7
Richland,19.603920699239858,5.5
Price,19.531571516640213,5.3
Green Lake,19.038033991042855,5.599999999999999
Crawford,18.847486809929222,5.700000000000001
Sawyer,18.526434951347184,5.2
Vernon,18.42938294876511,4.4
Forest,18.35926486067795,5
Adams,18.23803912698447,4.3
Ashland,17.768424586547333,4.5
Vilas,17.66882316990735,4.2
Iron,17.569334724272462,4.8
Door,17.549889600070706,4.9
Rusk,17.51392868065568,4.4
Langlade,17.35470657672505,4.7
Barron,17.22195841179941,3.8
Bayfield,17.191328118386352,3.8
Florence,16.941371192456394,4.4
Clark,16.91596548250293,3.0999999999999996
Washburn,16.83680278443639,3.2
Waushara,16.77117702500741,3.0999999999999996
Douglas,16.76097519241195,3.4000000000000004
Lafayette,16.745149681612666,3.5000000000000004
Pepin,16.738088631293568,3.9
Marquette,16.736137287164638,3.4000000000000004
Jackson,16.722514067519413,3.0999999999999996
Monroe,16.651598852222584,3.0999999999999996
Marinette,16.628543973210725,3.6000000000000005
Oneida,16.622881077367317,3.5000000000000004
Grant,16.620942049649408,3
Lincoln,16.418509406137773,2.9000000000000004
Fond du Lac,16.404902041794394,2.9000000000000004
Chippewa,16.402803918048964,2.7999999999999994
Burnett,16.398421476327137,2.7
Juneau,16.333559278079544,2.4
Kenosha,16.28466736213623,2.4
Racine,16.25115061692931,2.2
Manitowoc,16.21970369332537,2.4
Buffalo,16.080315748889948,2.7
Milwaukee,16.06008383725282,1.2
Eau Claire,16.048369769446186,2.5
Polk,16.045630858610973,2.3
Pierce,16.03297819006468,2.7999999999999994
Wood,16.03014599666082,2.2
Shawano,16.017342857851112,2.1
Winnebago,16.01641974443781,2
Sauk,16.00016864736702,2.2
Waupaca,15.994530423175702,2.3
Taylor,15.96947405955059,2.3
Sheboygan,15.964500187890494,2.3
Dodge,15.959538492233047,2.3
Dunn,15.945109247873434,2.4
Jefferson,15.94472525220946,2.3
Kewaunee,15.943277450144397,2.6
Rock,15.941122582666708,1.8000000000000003
Green,15.896091070010044,2.3
Walworth,15.89428849245822,2.1
Columbia,15.866350143883981,2.2
Portage,15.83869581555695,2
Iowa,15.735504306911272,1.8000000000000003
Brown,15.719678207626453,1.5
Oconto,15.705056111364504,1.8000000000000003
Marathon,15.67788537765313,1.6
La Crosse,15.627579623823237,1.8000000000000003
Trempealeau,15.59355148990384,1.6
Calumet,15.567509407939156,1.6
St. Croix,15.551438484420283,1.6
Outagamie,15.511934175931444,1.3
Ozaukee,15.478439037783506,1.5
Dane,15.440128638436645,1.1
Washington,15.424841653890095,1.3
Waukesha,15.30480073805515,0.9000000000000001
