county,pov,moe
Calhoun,33.468127238564946,18.1
Wirt,27.078616109111664,16.3
Clay,24.390988254655838,11.700000000000001
Summers,24.27492206597837,11.9
Roane,23.238853875682725,10.6
McDowell,22.85720354648526,9.9
Ritchie,22.634458399496086,10.4
Doddridge,22.559082797372273,12.7
Hardy,22.310032338603317,10.2
Monroe,22.073492628887774,11
Barbour,21.98314280459798,9.5
Jackson,21.936531186467427,9.5
Hampshire,21.910076629813357,9.9
Pocahontas,21.897919013925257,10
Mingo,21.875866023533106,8.7
Pendleton,21.524585171839405,9.9
Lincoln,21.379453409043997,9.2
Wyoming,21.365664545242524,8.8
Logan,21.06818456547071,8.2
Webster,21.0324107004036,9
Mason,20.648889744706644,8.2
Taylor,20.44643040292151,8.2
Braxton,20.394604088547567,8.4
Lewis,19.74654203417916,7.1
Fayette,19.562428222345208,6.4
Greenbrier,19.489526169871148,6.5
Mineral,19.397984590551207,7.000000000000001
Morgan,19.346599833542168,7.200000000000001
Marshall,19.23965928345382,6.5
Tyler,19.226414588536244,7.400000000000001
Mercer,19.19370749072249,6.199999999999999
Upshur,19.09858801896731,6.3
Preston,19.026375117208097,6.5
Grant,19.001895769756207,7.200000000000001
Gilmer,18.744050452069477,7.200000000000001
Raleigh,18.67030194156426,5.3
Putnam,18.574306005916288,5.800000000000001
Wayne,18.574306005916288,5.800000000000001
Randolph,18.55363478876531,5.700000000000001
Nicholas,18.526276890723288,5.700000000000001
Wetzel,18.43116815148931,5.9
Hancock,18.162714246040075,5.3
Tucker,18.098176786105668,5.3
Marion,18.01204937231167,4.6
Brooke,17.83361881610314,5
Harrison,17.59162569943723,4.2
Boone,17.552789553756785,4.3
Cabell,17.422735364685472,3.7000000000000006
Monongalia,17.40546817980833,4
Ohio,17.179671053717865,3.7000000000000006
Wood,17.04152872620822,3.3000000000000003
Kanawha,16.641229368657438,2.5
Pleasants,16.535523061486977,3
Jefferson,16.28669777825483,2.3
Berkeley,16.204045717865124,2.1
