county,pov,moe
Niobrara,49.99917709414085,22.899999999999995
Hot Springs,28.273172110855082,14.099999999999998
Johnson,24.944657678628452,11.1
Platte,21.854032024407854,11.199999999999998
Albany,21.8128625295553,8.7
Converse,21.176999426072868,8
Carbon,19.75437181533345,6.1000000000000005
Sublette,18.985656437322724,7.3
Weston,18.967786615994868,7.7
Big Horn,18.83611117127189,6
Sweetwater,17.79022714029712,4.5
Teton,17.6166723187922,5.800000000000001
Park,17.554910646443826,4.4
Goshen,17.489289361108366,5.1
Washakie,17.45322542301591,5.9
Fremont,17.316795057680668,3.2
Uinta,16.861946157318958,4.5
Laramie,16.659780396280222,3
Natrona,16.562456209801915,2.9000000000000004
Lincoln,16.527457418200214,3.5000000000000004
Sheridan,16.526358602754524,3.6000000000000005
Campbell,16.411480308727654,3
Crook,15.446543101931272,1.3999999999999997
