pick_order,condition,seq_index,n_failed_attempts,exclusion_reasons,sequence,full_components
1,sorted-pixel,13,3,not_completed,spix_NE_RI_2;spix_MW_WI_4;spix_MW_KS_3;spix_WE_MT_1;spix_SO_NC_4;spix_SO_WV_2;spix_SO_GA_1;spix_WE_HI_4;spix_SO_AR_3;spix_WE_NM_2;spix_WE_CO_4;spix_NE_NH_3;spix_NE_VT_4;spix_MW_IA_1;spix_WE_CA_3;spix_NE_NY_1;spix_MW_MI_2,introduction;consent;sorted-pixel-intro;sorted-pixel-trial;spix_NE_RI_2;spix_MW_WI_4;spix_MW_KS_3;spix_WE_MT_1;spix_SO_NC_4;spix_SO_WV_2;spix_SO_GA_1;spix_WE_HI_4;spix_SO_AR_3;spix_WE_NM_2;spix_WE_CO_4;spix_NE_NH_3;spix_NE_VT_4;spix_MW_IA_1;spix_WE_CA_3;spix_NE_NY_1;spix_MW_MI_2;sorted-pixel-survey;sorted-pixel-survey-uncertainty;payout;end
2,svsup,27,1,missing_prolific_id,svs_SO_NC_2;svs_NE_NJ_3;svs_WE_OR_3;svs_WE_HI_4;svs_NE_ME_1;svs_MW_IN_1;svs_NE_RI_4;svs_SO_SC_4;svs_WE_WA_4;svs_NE_MA_2;svs_MW_OH_4;svs_MW_KS_2;svs_WE_NM_1;svs_MW_SD_3;svs_SO_KY_3;svs_SO_VA_1;svs_WE_UT_2,introduction;consent;svsup-intro;svsup-trial;svs_SO_NC_2;svs_NE_NJ_3;svs_WE_OR_3;svs_WE_HI_4;svs_NE_ME_1;svs_MW_IN_1;svs_NE_RI_4;svs_SO_SC_4;svs_WE_WA_4;svs_NE_MA_2;svs_MW_OH_4;svs_MW_KS_2;svs_WE_NM_1;svs_MW_SD_3;svs_SO_KY_3;svs_SO_VA_1;svs_WE_UT_2;svsup-survey;svsup-survey-uncertainty;payout;end
3,hop,5,1,missing_prolific_id,hom_WE_HI_4;hom_NE_MA_4;hom_MW_IN_1;hom_SO_MD_3;hom_WE_NV_3;hom_NE_VT_3;hom_WE_UT_1;hom_MW_OH_4;hom_WE_MT_2;hom_MW_KS_2;hom_SO_GA_2;hom_NE_CT_2;hom_SO_TX_1;hom_MW_SD_3;hom_WE_AZ_4;hom_NE_RI_1;hom_SO_MS_4,introduction;consent;hop-intro;hop-trial;hom_WE_HI_4;hom_NE_MA_4;hom_MW_IN_1;hom_SO_MD_3;hom_WE_NV_3;hom_NE_VT_3;hom_WE_UT_1;hom_MW_OH_4;hom_WE_MT_2;hom_MW_KS_2;hom_SO_GA_2;hom_NE_CT_2;hom_SO_TX_1;hom_MW_SD_3;hom_WE_AZ_4;hom_NE_RI_1;hom_SO_MS_4;hop-survey;hop-survey-uncertainty;payout;end
4,hop,2,1,missing_prolific_id,hom_MW_IL_4;hom_NE_MA_4;hom_WE_NM_1;hom_SO_KY_2;hom_NE_VT_3;hom_WE_WA_4;hom_WE_OR_3;hom_SO_WV_4;hom_MW_ND_3;hom_SO_AR_1;hom_NE_CT_2;hom_NE_RI_1;hom_MW_OH_1;hom_WE_HI_4;hom_MW_WI_2;hom_SO_VA_3;hom_WE_UT_2,introduction;consent;hop-intro;hop-trial;hom_MW_IL_4;hom_NE_MA_4;hom_WE_NM_1;hom_SO_KY_2;hom_NE_VT_3;hom_WE_WA_4;hom_WE_OR_3;hom_SO_WV_4;hom_MW_ND_3;hom_SO_AR_1;hom_NE_CT_2;hom_NE_RI_1;hom_MW_OH_1;hom_WE_HI_4;hom_MW_WI_2;hom_SO_VA_3;hom_WE_UT_2;hop-survey;hop-survey-uncertainty;payout;end
5,threshold-pixel-sorted,24,1,not_completed,tpxs_SO_TN_3;tpxs_NE_VT_1;tpxs_NE_NJ_4;tpxs_WE_HI_4;tpxs_WE_WA_1;tpxs_MW_MO_4;tpxs_NE_NY_3;tpxs_MW_ND_2;tpxs_WE_WY_2;tpxs_WE_CA_4;tpxs_SO_LA_4;tpxs_WE_AZ_3;tpxs_SO_FL_1;tpxs_MW_NE_1;tpxs_SO_VA_2;tpxs_NE_ME_2;tpxs_MW_MN_3,introduction;consent;threshold-pixel-sorted-intro;threshold-pixel-sorted-trial;tpxs_SO_TN_3;tpxs_NE_VT_1;tpxs_NE_NJ_4;tpxs_WE_HI_4;tpxs_WE_WA_1;tpxs_MW_MO_4;tpxs_NE_NY_3;tpxs_MW_ND_2;tpxs_WE_WY_2;tpxs_WE_CA_4;tpxs_SO_LA_4;tpxs_WE_AZ_3;tpxs_SO_FL_1;tpxs_MW_NE_1;tpxs_SO_VA_2;tpxs_NE_ME_2;tpxs_MW_MN_3;threshold-pixel-sorted-survey;threshold-pixel-sorted-survey-uncertainty;payout;end
6,threshold-pixel-sorted,146,1,not_completed,tpxs_NE_ME_1;tpxs_WE_CA_2;tpxs_SO_LA_2;tpxs_WE_HI_4;tpxs_SO_NC_1;tpxs_WE_UT_3;tpxs_SO_AL_4;tpxs_WE_NV_1;tpxs_MW_MN_4;tpxs_SO_GA_3;tpxs_MW_NE_2;tpxs_NE_NJ_3;tpxs_WE_OR_4;tpxs_NE_RI_4;tpxs_MW_SD_1;tpxs_MW_WI_3;tpxs_NE_MA_2,introduction;consent;threshold-pixel-sorted-intro;threshold-pixel-sorted-trial;tpxs_NE_ME_1;tpxs_WE_CA_2;tpxs_SO_LA_2;tpxs_WE_HI_4;tpxs_SO_NC_1;tpxs_WE_UT_3;tpxs_SO_AL_4;tpxs_WE_NV_1;tpxs_MW_MN_4;tpxs_SO_GA_3;tpxs_MW_NE_2;tpxs_NE_NJ_3;tpxs_WE_OR_4;tpxs_NE_RI_4;tpxs_MW_SD_1;tpxs_MW_WI_3;tpxs_NE_MA_2;threshold-pixel-sorted-survey;threshold-pixel-sorted-survey-uncertainty;payout;end
7,pixel,15,1,invalid_prolific_id,pix_SO_OK_1;pix_NE_VT_3;pix_NE_CT_2;pix_SO_FL_3;pix_MW_OH_2;pix_MW_MI_4;pix_MW_MO_3;pix_WE_NV_4;pix_NE_RI_1;pix_MW_KS_1;pix_SO_AL_2;pix_WE_HI_4;pix_WE_WY_1;pix_NE_MA_4;pix_SO_VA_4;pix_WE_CO_3;pix_WE_AZ_2,introduction;consent;pixel-intro;pixel-trial;pix_SO_OK_1;pix_NE_VT_3;pix_NE_CT_2;pix_SO_FL_3;pix_MW_OH_2;pix_MW_MI_4;pix_MW_MO_3;pix_WE_NV_4;pix_NE_RI_1;pix_MW_KS_1;pix_SO_AL_2;pix_WE_HI_4;pix_WE_WY_1;pix_NE_MA_4;pix_SO_VA_4;pix_WE_CO_3;pix_WE_AZ_2;pixel-survey;pixel-survey-uncertainty;payout;end
8,pixel,21,1,not_completed,pix_SO_TX_3;pix_WE_NV_2;pix_SO_TN_4;pix_NE_RI_1;pix_MW_WI_3;pix_SO_AR_2;pix_NE_VT_3;pix_NE_CT_2;pix_WE_MT_4;pix_NE_MA_4;pix_WE_WY_3;pix_MW_NE_2;pix_WE_HI_4;pix_SO_AL_1;pix_MW_MN_4;pix_WE_ID_1;pix_MW_SD_1,introduction;consent;pixel-intro;pixel-trial;pix_SO_TX_3;pix_WE_NV_2;pix_SO_TN_4;pix_NE_RI_1;pix_MW_WI_3;pix_SO_AR_2;pix_NE_VT_3;pix_NE_CT_2;pix_WE_MT_4;pix_NE_MA_4;pix_WE_WY_3;pix_MW_NE_2;pix_WE_HI_4;pix_SO_AL_1;pix_MW_MN_4;pix_WE_ID_1;pix_MW_SD_1;pixel-survey;pixel-survey-uncertainty;payout;end
9,pixel,23,1,missing_prolific_id,pix_NE_NJ_3;pix_NE_MA_2;pix_WE_WA_3;pix_NE_ME_1;pix_MW_ND_3;pix_SO_SC_1;pix_WE_CO_1;pix_SO_OK_3;pix_WE_UT_4;pix_WE_ID_2;pix_WE_HI_4;pix_MW_OH_1;pix_SO_MS_2;pix_MW_IL_4;pix_NE_RI_4;pix_MW_WI_2;pix_SO_TX_4,introduction;consent;pixel-intro;pixel-trial;pix_NE_NJ_3;pix_NE_MA_2;pix_WE_WA_3;pix_NE_ME_1;pix_MW_ND_3;pix_SO_SC_1;pix_WE_CO_1;pix_SO_OK_3;pix_WE_UT_4;pix_WE_ID_2;pix_WE_HI_4;pix_MW_OH_1;pix_SO_MS_2;pix_MW_IL_4;pix_NE_RI_4;pix_MW_WI_2;pix_SO_TX_4;pixel-survey;pixel-survey-uncertainty;payout;end
10,threshold-pixel,11,1,not_completed,tpix_WE_HI_4;tpix_WE_WA_2;tpix_MW_IN_4;tpix_NE_ME_3;tpix_NE_VT_2;tpix_SO_MD_3;tpix_SO_MS_4;tpix_MW_NE_3;tpix_NE_PA_1;tpix_MW_IA_2;tpix_NE_NH_4;tpix_SO_TX_1;tpix_MW_ND_1;tpix_WE_ID_3;tpix_WE_NM_4;tpix_WE_AZ_1;tpix_SO_GA_2,introduction;consent;threshold-pixel-intro;threshold-pixel-trial;tpix_WE_HI_4;tpix_WE_WA_2;tpix_MW_IN_4;tpix_NE_ME_3;tpix_NE_VT_2;tpix_SO_MD_3;tpix_SO_MS_4;tpix_MW_NE_3;tpix_NE_PA_1;tpix_MW_IA_2;tpix_NE_NH_4;tpix_SO_TX_1;tpix_MW_ND_1;tpix_WE_ID_3;tpix_WE_NM_4;tpix_WE_AZ_1;tpix_SO_GA_2;threshold-pixel-survey;threshold-pixel-survey-uncertainty;payout;end
