region,block_id,level_1,level_2,level_3,level_4
Northeast,Northeast_00,MA,NH,CT,ME
Northeast,Northeast_01,VT,ME,NY,NJ
Northeast,Northeast_02,NY,RI,NH,VT
Northeast,Northeast_03,NH,NJ,PA,CT
Northeast,Northeast_04,CT,PA,RI,NY
Northeast,Northeast_05,ME,MA,NJ,RI
Northeast,Northeast_06,RI,CT,VT,MA
Northeast,Northeast_07,NJ,NY,MA,PA
Northeast,Northeast_08,PA,VT,ME,NH
Midwest,Midwest_00,IA,MI,KS,WI
Midwest,Midwest_01,KS,OH,MO,MI
Midwest,Midwest_02,WI,MO,IL,SD
Midwest,Midwest_03,IN,KS,SD,OH
Midwest,Midwest_04,IL,IN,MI,NE
Midwest,Midwest_05,NE,ND,MN,MO
Midwest,Midwest_06,MN,IL,IA,KS
Midwest,Midwest_07,MI,MN,OH,ND
Midwest,Midwest_08,ND,IA,NE,IN
Midwest,Midwest_09,SD,NE,WI,MN
Midwest,Midwest_10,MO,SD,IN,IA
Midwest,Midwest_11,OH,WI,ND,IL
South,South_00,AL,AR,TX,TN
South,South_01,KY,TN,WV,MD
South,South_02,MD,TX,NC,FL
South,South_03,GA,WV,AR,NC
South,South_04,MS,MD,AL,KY
South,South_05,OK,AL,FL,VA
South,South_06,TX,GA,MD,MS
South,South_07,SC,MS,OK,TX
South,South_08,AR,KY,VA,WV
South,South_09,VA,NC,KY,SC
South,South_10,TN,FL,SC,GA
South,South_11,FL,VA,TN,LA
South,South_12,LA,OK,MS,AR
South,South_13,WV,SC,LA,OK
South,South_14,NC,LA,GA,AL
West,West_00,UT,MT,NV,AZ
West,West_01,CA,OR,MT,ID
West,West_02,MT,NM,CA,CO
West,West_03,WY,AZ,CO,NV
West,West_04,NV,CA,UT,OR
West,West_05,WA,WY,AZ,CA
West,West_06,NM,UT,OR,WA
West,West_07,AZ,WA,ID,NM
West,West_08,OR,CO,NM,WY
West,West_09,ID,NV,WY,MT
West,West_10,CO,ID,WA,UT
